document_key,document_name,document_group,issue_or_prepare_place,issue_channel,submit_to,submit_to_local_task_key,submit_to_graph_function_key,required_for,when_needed,prerequisite_summary,source_url,source_title,section_path,source_document_id,chunk_id,evidence_text
building_register,건축물대장,계약 전 건물 확인,정부24 또는 자치구 민원/부동산정보 담당 창구,온라인 발급 또는 방문 발급,"영업신고 전 용도·위반건축물 확인에 사용, 신고 단계에서는 담당공무원 확인 대상",building_register_issue,building_register_use,"건축물 용도 확인, 위반건축물 여부 확인, 식품관련영업신고 담당공무원 확인",계약 직전 또는 영업신고 전,주소 후보 확정 후 확인,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=2&cciNo=2&cnpClsNo=1,임대차계약,임대차계약 > 임대차계약 전 확인 사항 건축물대장의 확인 건축물대장은 건축물의 소유·이용 상태를 나타내어 건축물과,easylaw_839_body_ov_csmSeq_839_ccfNo_2_cciNo_2_cnpClsNo_1,evchunk_a7c37fb7a7bc75,"인쇄체크 임대차계약 전 확인 사항 건축물대장의 확인 건축물대장은 건축물의 소유·이용 상태를 나타내어 건축물과 대지의 현황 및 지하수위, 기초형식, 설계지내력, 구조설계 해석법, 내진설계 적용 여부, 내진능력, 특수구조물 해당여부, 특수구조건축물의 유형 등 건축물의 구조내력(構造耐力)에 관한 정보를 표시하고 있는 공적장부입니다( 「건축법」 제38조 제1항 및 「건축물대장의 기재 및 관리 등에 관한 규칙」 제7조의3 ). 건축물대장을 발급받은 임차하려는 건물의 용도가 창업하려는 음식점 영업 형태에 적합한지 확인해야 합니다. 토지대장의 확인 토지대장은 토지의 소재지, 지번, 지목, 면적, 토지의 소유자가 기록되어 있는 공적장부입니다( 「공간정보의 구축 및 관리 등에 관한 법률」 제71조 , 「공간정보의 구축 및 관리 등에 관한 법률 시행규칙」 제…"
food_business_report_form,식품 영업 신고서,영업신고,정부24 또는 자치구 식품위생 담당부서 민원서식,온라인 신청 또는 방문 제출,자치구 식품위생 담당부서,food_business_report,food_hygiene,식품관련영업신고,영업신고 신청 시,"위생교육, 건강진단결과서, 임대차계약서 등 준비 후 제출",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 서비스 개요,gov24_food_business_report,evchunk_64284a635e9064,"서비스 개요 신청방법 인터넷 , 방문 , 우편 신청자격 법령상의 자격이 있는 자(제3자) 처리기간 즉시(근무시간 내 3시간) 처리기간 계산 방법 신청서 식품 영업 신고서 ( 식품위생법 시행규칙 : 별지서식 37호 ) 신청작성예시 구비서류 있음 ( 하단 참조 ) 수수료 28,000원(즉석판매제조가공업 한시적 영업신고의 경우 수수료 면제)"
hygiene_training_certificate,위생교육 수료증,영업신고 선행서류,업종별 식품위생교육기관,기관 선택 후 신청·결제·수강·수료증 출력,자치구 식품위생 담당부서,food_business_report,food_hygiene,"식품관련영업신고, 식품접객업 영업신고증",영업신고 전,"일반음식점은 한국외식업중앙회·한국외식산업협회 등, 휴게음식점은 한국휴게음식업중앙회 등 업종별 기관 선택",https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=4&cciNo=1&cnpClsNo=2,식품위생교육,식품위생교육 > 식품 위생교육의 실시 식품위생교육 시간 식품접객업 영업을 하려는 자는 6시간의 식품위생교육을 받아야,easylaw_839_body_ov_csmSeq_839_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_57b48821fa3cad,교육대상 교육기관 위탁급식영업의 영업자 및 영업을 하려는 자 한국식품산업협회 한국외식산업협회(위탁급식영업자 중 영업신고 후 영업하는 회원에 한함) 일반음식점영업자 및 영업을 하려는 자 한국외식업중앙회 한국외식산업협회(영업신고 후 영업하는 회원에 한함) 한국프랜차이즈산업협회(영업신고 후 영업하는 회원에 한함) 휴게음식점영업자 및 영업을 하려는 자 한국휴게음식업중앙회 한국프랜차이즈산업협회(영업신고 후 영업하는 회원에 한함) 제과점영업자 및 영업을 하려는 자 대한제과협회 한국프랜차이즈산업협회(영업신고 후 영업하는 회원에 한함) 단란주점영업자 및 영업을 하려는 자 한국단란주점업중앙회 유흥주점영업자 및 영업을 하려는 자 한국유흥음식업중앙회 즉석판매제조·가공 및 영업을 하려는 자 떡류식품가공업자 한국떡류식품가공협회 압착식용유가공업자 한국식용유지고추가공…
health_exam_result,건강진단결과서,영업신고 선행서류,보건소 또는 지정 의료기관,방문 검사 후 발급,자치구 식품위생 담당부서,food_business_report,food_hygiene,"식품관련영업신고, 식품접객업 영업신고증",영업신고 전,창업자 및 종업원 인적사항 확인 후 검사,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1966&ccfNo=2&cciNo=1&cnpClsNo=1,푸드트럭 창업·운영 / 영업신고,푸드트럭 창업·운영 / 영업신고 > 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업,easylaw_1966_body_v_csmSeq_1966_ccfNo_2_cciNo_1_cnpClsNo_1,evchunk_efba37d57587f2,인쇄체크 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업 및 제과점영업을 하려는 자는 영업 종류별 또는 영업소별로 식품의약품안전처장 또는 특별자치시장·특별자치도지사·시장·군수·구청장(이하 “신고관청”이라 함)에게 신고해야 합니다( 「식품위생법」 제37조 제4항 전단 및 「식품위생법 시행령」 제25조 제1항제8호 참조). 영업신고 절차 담당 신고인 (푸드트럭 영업자) 처리기관(담당 부서) 시·군·구(식품영업신고 담당 부서) 단계 신고서 작성 → 접수 ↓ 서류검토 ↓ 신고증 발급 ← 결재 ↓ 시설 확인 [금천구청( https://www.geumcheon.go.kr/ )-보건소·그 밖의 보건소 누리집 참조] ※ 푸드트럭 영업신고 구비서류 푸드트럭 영업신고를 하려면 영업에 필요한 시설을 갖춘 후 …
lease_contract,임대차계약서 또는 시설사용계약서,계약/사용권 증빙,임대인·임차인 또는 시설사용 계약 당사자,계약 체결 후 원본/사본 준비,"자치구 식품위생 담당부서, 관할 세무서, 조건별 소방·도로·광고물 담당부서",food_business_report,food_hygiene,"식품관련영업신고, 사업자등록, 안전시설등 완비증명서 등",계약 후 각 인허가 신청 전,건물 소유자·관리인 권한 확인 권장,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 민원인이 제출해야하는 서류,gov24_food_business_report,evchunk_4be61814be5dcf,"민원인이 제출해야하는 서류 교육이수증 1부(「식품위생법」 제41조제2항에 따라 미리 교육을 받은 경우만 해당합니다) 제조ㆍ가공하려는 식품 및 식품첨가물의 종류 및 제조방법설명서 1부(「식품위생법 시행령」 제21조제1호부터 제3호까지의 영업만 해당합니다) 시설사용계약서 1부(식품운반업을 하려는 경우로서 차고 또는 세차장을 임대할 경우만 해당합니다) 「먹는물관리법」에 따른 먹는물 수질검사기관이 발행한 수질검사(시험)성적서 1부(수돗물이 아닌 지하수 등을 먹는물 또는 식품등의 제조과정이나 식품의 조리ㆍ세척 등에 사용하는 경우만 해당합니다) 유선 또는 도선사업 면허증 또는 신고필증 1부(수상구조물로 된 유선장 또는 도선장에 「식품위생법 시행령」 제21조제8호가목의 휴게음식점영업, 같은 호 나목의 일반음식점영업 및 같은 호 바목의 제과점영업을 하려는…"
id_card,신분증,본인확인,신청인 본인 준비,방문 신청 시 지참,자치구 식품위생 담당부서 등 방문 접수처,food_business_report,food_hygiene,식품관련영업신고,영업신고 신청 시,신청자 본인 확인,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 민원인이 제출하지 않아도 되는 서류,gov24_food_business_report,evchunk_9dddfe6a5ea01c,"민원인이 제출하지 않아도 되는 서류 (담당공무원이 확인) ※민원처리에 관한 법률 제 10조(불필요한 서류 요구의 금지)에 의하여 민원인이 본인정보제공 동의 후, 담당공무원이 [행정정보공동이용서비스]를 통하여 확인 가능한 서류 토지이용계획확인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 건축물대장 또는 「건축법」 제22조제3항제2호에 따른 건축물의 임시사용 승인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 액화석유가스 사용시설완성검사증명서(「식품위생법 시행령」 제21조제8호가목의 휴게음식점영업, 같은 호 나목의 일반음식점영업 및 같은 호 바목의 제과점영업을 하려는 사람 중 「액화석유가스의 안전관리 및 사업법」 제27조제2항에 …"
fire_safety_completion_certificate,안전시설등 완비증명서,소방/다중이용업소,소방본부장 또는 소방서장,관할 소방서 신고·현장 확인 후 발급,자치구 식품위생 담당부서,fire_safety_completion,fire_safety,식품관련영업신고 조건 해당 시,"영업신고 전, 소방 대상 조건 해당 시","임대차계약서, 건축물대장 용도 확인, 소방시설 현장 실사 준비",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 민원인이 제출해야하는 서류 > 안전시설등 완비증명서,gov24_food_business_report,evchunk_gov24_food_business_required_06,｢다중이용업소의 안전관리에 관한 특별법｣ 제9조제5항에 따라 소방본부장 또는 소방서장이 발행하는 안전시설등 완비증명서 1부(같은 법에 따라 안전시설등 완비증명서의 발급대상 영업의 경우만 해당합니다)
lpg_completion_certificate,액화석유가스 사용시설완성검사증명서,가스/LPG,LPG 사용시설 완성검사 기관,가스 배관·화구 시공 후 완성검사,식품관련영업신고 담당공무원 확인 대상,food_business_report,food_hygiene,LPG 사용 음식점의 식품관련영업신고 조건 해당 시,"영업신고 전, LPG 사용 시","LPG 사용 여부 확인, 가스 배관 및 화구 시공 완료",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 민원인이 제출하지 않아도 되는 서류,gov24_food_business_report,evchunk_9dddfe6a5ea01c,"민원인이 제출하지 않아도 되는 서류 (담당공무원이 확인) ※민원처리에 관한 법률 제 10조(불필요한 서류 요구의 금지)에 의하여 민원인이 본인정보제공 동의 후, 담당공무원이 [행정정보공동이용서비스]를 통하여 확인 가능한 서류 토지이용계획확인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 건축물대장 또는 「건축법」 제22조제3항제2호에 따른 건축물의 임시사용 승인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 액화석유가스 사용시설완성검사증명서(「식품위생법 시행령」 제21조제8호가목의 휴게음식점영업, 같은 호 나목의 일반음식점영업 및 같은 호 바목의 제과점영업을 하려는 사람 중 「액화석유가스의 안전관리 및 사업법」 제27조제2항에 …"
food_business_report_certificate,식품접객업 영업신고증,영업신고 결과물,자치구 식품위생 담당부서,구비서류 제출 후 신고 수리 시 발급,관할 세무서 또는 홈택스,food_business_report,food_hygiene,사업자등록증 발급 전 선행 결과물,사업자등록 신청 전,"위생교육 수료증, 건강진단결과서, 임대차계약서 또는 시설사용계약서, 신분증, 조건별 안전시설등 완비증명서",https://www.easylaw.go.kr/CSP/CsmMain.laf?csmSeq=1966,푸드트럭 창업·운영 / 푸드트럭 창업·운영,"푸드트럭 창업·운영 / 푸드트럭 창업·운영 > 푸드트럭 영업 준비 푸드트럭 영업 준비 절차 ※ 단계별 준비기간, 소요 시간",easylaw_1966_body_asylaw_go_kr_CSP_CsmMain_laf_csmSeq_1966,evchunk_3831057c287364,"영업 전 또는 종사 전 건강진단 실시 ⁃ 영업 후 매년 주기적 건강진단 실시 ※ 식품접객업 영업신고 시 건강진단 결과서 제출 ▼ 11 식품접객업 영업신고 신청 및 수리 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 식품접객업 영업신고 신청 ⁃ 적합한 경우 신청 수리 및 영업신고증 발부 ▼ 12 사업자등록 신청 및 수리 ⁃ 담당 기관: 관할 세무서 ⁃ 구비서류를 갖춰 사업자등록 신청 ⁃ 적합한 경우 신청 수리 및 사업자등록증 발부 ▼ 13 푸드트럭 영업 개시 ⁃ 영업 신고한 장소에서 영업 ▼ 14 영업신고사항 변경 및 폐업신고 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 영업신고사항의 변경 및 폐업 신고 ※ 영업 폐업 시, 사업자등록증 폐업 신고(담당 기관: 관할 세무서)와는 별도로 식품접객업 영업에 대한 폐업 …"
business_registration_application,사업자등록 신청서,세무,홈택스 또는 관할 세무서 민원서식,홈택스 온라인 신청 또는 세무서 방문,관할 세무서 또는 홈택스,business_registration,tax_registration,사업자등록증 발급,"영업신고증 발급 후, 사업개시일부터 20일 이내","영업신고증, 임대차계약서 등 준비",https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=6&cciNo=1&cnpClsNo=2,사업자등록 신청,사업자등록 신청 > 사업자등록 사업자등록 신청 사업자는 사업장마다 사업 개시일부터 20일 이내에 사업장 관할 세무서장에게,easylaw_839_body_ov_csmSeq_839_ccfNo_6_cciNo_1_cnpClsNo_2,evchunk_ed4686015033ae,"신청 시 제출서류 사업자등록을 하려는 사업자는 사업장마다 다음의 사항을 적은 사업자등록 신청서( 「부가가치세법 시행규칙」 별지 제4호서식 )를 관할 세무서장이나 그 밖에 신청인의 편의에 따라 선택한 세무서장에게 제출(국세정보통신망에 의한 제출을 포함함)해야 합니다( 「부가가치세법」 제8조 제1항, 「부가가치세법 시행령」 제11조 제1항 및 「부가가치세법 시행규칙」 제9조 제1항)."
