edge_id,source_node_id,target_node_id,predicate,subject_type,subject_name,object_type,object_name,claim_id,edge_source,assertion_level,authority_level,review_status,confidence,source_document_id,chunk_id,evidence_text,condition_text,source_type,source_url,title,section_path,extraction_method,model
edge_1e5ae02014fec752,n_047aac9216ad8bd1,n_ada3b5461a9f082b,based_on,permit_service,간편장부대상자,legal_basis,소득세법 제45조 제1항,claim_69ddace139ed1bbe,llm_claim,explicit,official_guide,official_document,0.6,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_3_cnpClsNo_1,evchunk_3396ead33011f5,소득금액의 계산 장부를 비치·기장한 사업자는 (소득금액 = 총수입금액 – 필요경비)로 소득금액을 계산합니다( 「소득세법」 제45조 제1항 참조).,,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=3&cnpClsNo=1,세금의 납부,세금의 납부 > 매년 발생되는 영업소득에 대해서는 소득세를 납부해야 합니다.,llm,gpt-5-nano
edge_eebd7e3b23968159,n_061d86f28b73166b,n_23655535b4c8838b,based_on,permit_service,쓰레기 및 음식물 쓰레기 처리,legal_basis,폐기물관리법 시행령 제8조의4 제2호,claim_54553f719fe9b977,llm_claim,explicit,official_guide,official_document,0.75,easylaw_840_body_ov_csmSeq_840_ccfNo_2_cciNo_1_cnpClsNo_3,evchunk_d209db122c9c6f,폐기물처리시설을 설치·운영하는 자 폐기물 수집·운반업의 허가를 받은 자 폐기물 재활용업의 허가를 받은 자,다음의 어느 하나에 해당하는 자에게 위탁하여 수집·운반 또는 재활용해야 합니다( 「폐기물관리법」 제15조의2 제3항).,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=2&cciNo=1&cnpClsNo=3,쓰레기 및 음식물 쓰레기 처리,쓰레기 및 음식물 쓰레기 처리 > 음식물 쓰레기의 처리 음식물류 폐기물 배출자의 준수사항 음식물류 폐기물을 다량으로 배출하는 자로서,llm,gpt-5-nano
edge_00f47eb8b1d407ed,n_061d86f28b73166b,n_51ef124a5409e107,based_on,permit_service,쓰레기 및 음식물 쓰레기 처리,legal_basis,폐기물관리법 제15조의2 제3항,claim_3dedc7ee69d5cd00,llm_claim,explicit,official_guide,official_document,0.8,easylaw_840_body_ov_csmSeq_840_ccfNo_2_cciNo_1_cnpClsNo_3,evchunk_d209db122c9c6f,음식물류 폐기물 배출자는 음식물류 폐기물을 스스로 수집·운반 또는 재활용하거나 다음의 어느 하나에 해당하는 자에게 위탁하여 수집·운반 또는 재활용해야 합니다( 「폐기물관리법」 제15조의2 제3항),다음의 어느 하나에 해당하는 자에게 위탁하여 수집·운반 또는 재활용해야 합니다( 「폐기물관리법」 제15조의2 제3항).,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=2&cciNo=1&cnpClsNo=3,쓰레기 및 음식물 쓰레기 처리,쓰레기 및 음식물 쓰레기 처리 > 음식물 쓰레기의 처리 음식물류 폐기물 배출자의 준수사항 음식물류 폐기물을 다량으로 배출하는 자로서,deterministic_repair,gpt-5-nano
edge_58c3ee691ffac57b,n_061d86f28b73166b,n_d982f4a97d007e4d,based_on,permit_service,쓰레기 및 음식물 쓰레기 처리,legal_basis,폐기물관리법 시행규칙 제17조,claim_f6a2c7b8f4962619,llm_claim,explicit,official_guide,official_document,0.7,easylaw_840_body_ov_csmSeq_840_ccfNo_2_cciNo_1_cnpClsNo_3,evchunk_d209db122c9c6f,"폐기물처리시설을 설치·운영하는 자에게 위탁하는 경우는 제외됩니다( 「폐기물관리법」 제15조의2 제5항 및 「폐기물관리법 시행규칙」 제17조 , 제17조의4 ).",다음의 어느 하나에 해당하는 자에게 위탁하여 수집·운반 또는 재활용해야 합니다( 「폐기물관리법」 제15조의2 제3항).,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=2&cciNo=1&cnpClsNo=3,쓰레기 및 음식물 쓰레기 처리,쓰레기 및 음식물 쓰레기 처리 > 음식물 쓰레기의 처리 음식물류 폐기물 배출자의 준수사항 음식물류 폐기물을 다량으로 배출하는 자로서,llm,gpt-5-nano
edge_f821c609e6b366bc,n_061d86f28b73166b,n_e0a6a1a36e8a6b54,based_on,permit_service,쓰레기 및 음식물 쓰레기 처리,legal_basis,폐기물관리법 제15조의2 제1항,claim_a5afa1829e3c31e2,llm_claim,explicit,official_guide,official_document,0.8,easylaw_840_body_ov_csmSeq_840_ccfNo_2_cciNo_1_cnpClsNo_3,evchunk_d209db122c9c6f,음식물류 폐기물의 발생 억제 및 적정 처리를 위해 관할 특별자치시·특별자치도 또는 시·군·구의 조례로 정하는 사항을 준수해야 합니다( 「폐기물관리법」 제15조의2 제1항 및 「폐기물관리법 시행령」 제8조의4 제2호).,음식물류 폐기물 발생 억제 및 적정 처리를 위해 관할 조례로 정하는 사항을 준수해야 함,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=2&cciNo=1&cnpClsNo=3,쓰레기 및 음식물 쓰레기 처리,쓰레기 및 음식물 쓰레기 처리 > 음식물 쓰레기의 처리 음식물류 폐기물 배출자의 준수사항 음식물류 폐기물을 다량으로 배출하는 자로서,llm,gpt-5-nano
edge_5101c4d89b0d709e,n_06430b751f86c812,n_6542ba3e068e9236,based_on,permit_service,부가가치세의 납부,legal_basis,부가가치세법 제67조 제1항,claim_18aca31b6842f445,llm_claim,explicit,official_guide,official_document,0.8,easylaw_840_body_ov_csmSeq_840_ccfNo_5_cciNo_1_cnpClsNo_1,evchunk_18de4668efec8b,납세지 관할 세무서장에게 확정신고를 하고 납세지 관할 세무서장 또는 한국은행 등에 납부해야 합니다( 「부가가치세법」 제67조 제1항).,,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=5&cciNo=1&cnpClsNo=1,부가가치세의 납부,부가가치세의 납부 > 간이과세자의 부가가치세 신고 및 납부 납부세액 간이과세자의 부가가치세 납부세액은 [(과세표준 X 부가가치율,llm,gpt-5-nano
edge_6253673f71161bc4,n_06430b751f86c812,n_a76738f880d5efe5,based_on,permit_service,부가가치세의 납부,legal_basis,"부가가치세법 제63조 제2항, 제3항 및 부가가치세법 시행령 제111조 제2항",claim_ecb83ab01d863c3d,llm_claim,explicit,official_guide,official_document,0.8,easylaw_840_body_ov_csmSeq_840_ccfNo_5_cciNo_1_cnpClsNo_1,evchunk_18de4668efec8b,"과세표준 X 부가가치율 15% X 10%) – 공제세액]의 금액으로 합니다( 「부가가치세법」 제63조 제2항, 제3항 및 「부가가치세법 시행령」 제111조 제2항)",,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=5&cciNo=1&cnpClsNo=1,부가가치세의 납부,부가가치세의 납부 > 간이과세자의 부가가치세 신고 및 납부 납부세액 간이과세자의 부가가치세 납부세액은 [(과세표준 X 부가가치율,deterministic_repair,gpt-5-nano
edge_0fe7bc4e8ca33be1,n_08153ac133549da8,n_904d8d9bd780e009,based_on,permit_service,음식점 영업자 등의 준수사항,legal_basis,"""식품위생법"" 제44조 제2항",claim_145dc71c939efbea,llm_claim,explicit,official_guide,official_document,0.8,easylaw_840_body_ov_csmSeq_840_ccfNo_1_cciNo_1_cnpClsNo_1,evchunk_7e3bf1681d7203,"다만, 다음의 어느 하나에 해당하는 경우에는 해당 영업자에 대한 행정처분을 면제할 수 있되, 아래 1. 또는 2.에 해당하는 영업자가 법원의 판결에 따라 유죄로 확정된 경우(선고유예 판결을 받은 경우는 제외)에는 행정처분을 면제하지 않습니다( 「식품위생법」 제75조 제1항 단서 및 「식품위생법 시행령」제52조 제3항·제4항)",,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=1&cciNo=1&cnpClsNo=1,음식점 영업자 등의 준수사항,음식점 영업자 등의 준수사항 > 영업자 등의 금지 행위 청소년 출입·고용 금지 식품접객영업자는 「청소년 보호법」 제2조 에,deterministic_repair,gpt-5-nano
edge_02e5bfd8af6f53b7,n_08153ac133549da8,n_bcb971392b75c249,based_on,permit_service,음식점 영업자 등의 준수사항,legal_basis,식품위생법 제44조 제1항,claim_3c5b5b9cc950bceb,llm_claim,explicit,official_guide,official_document,0.85,easylaw_840_body_ov_csmSeq_840_ccfNo_1_cciNo_1_cnpClsNo_1,evchunk_1a2013f060570e,"「식품위생법」 제44조 제1항, 「식품위생법 시행령」 제29조 제1항제7호 및 「식품위생법 시행규칙」 제57조",,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=1&cciNo=1&cnpClsNo=1,음식점 영업자 등의 준수사항,음식점 영업자 등의 준수사항 > 영업자 등의 준수사항 음식점 영업자 및 종업원의 준수사항 음식점 영업자와 그 종업원은,llm,gpt-5-nano
edge_9e707e4c9fe16614,n_08153ac133549da8,n_ca6b28f5e9b3855a,based_on,permit_service,음식점 영업자 등의 준수사항,legal_basis,식품위생법 제75조 제1항제13호,claim_00bd0bc7cc9d8aac,llm_claim,explicit,official_guide,official_document,0.76,easylaw_840_body_ov_csmSeq_840_ccfNo_1_cciNo_1_cnpClsNo_1,evchunk_1a2013f060570e,「식품위생법」 제75조 제1항제13호),,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=1&cciNo=1&cnpClsNo=1,음식점 영업자 등의 준수사항,음식점 영업자 등의 준수사항 > 영업자 등의 준수사항 음식점 영업자 및 종업원의 준수사항 음식점 영업자와 그 종업원은,deterministic_repair,gpt-5-nano
