document_name,document_group,issue_or_prepare_place,issue_channel,submit_to,submit_to_local_task_key,submit_to_graph_function_key,required_for,when_needed,prerequisite_summary,graph_requirement_count,graph_document_node_count,source_url,source_title,section_path,source_document_id,chunk_id,evidence_text
"""음식점 영업자 지위 승계 신고""",폐업/말소,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서 또는 관할 세무서,food_business_report,food_hygiene,폐업신고,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=6&cciNo=2&cnpClsNo=2,폐업신고,폐업신고 > 「부가가치세법」 상 폐업신고 폐업신고 사업자등록을 한 사업자가 폐업을 하거나 사실상 사업을 시작하지,easylaw_840_body_ov_csmSeq_840_ccfNo_6_cciNo_2_cnpClsNo_2,evchunk_9f4ee3e46ed3cd,"아버지가 운영하던 음식점을 제가 물려받아서 운영하려고 합니다. 이런 경우, 폐업신고를 하고 다시 새롭게 영업신고를 해야 하나요? A. 음식점을 더 이상 운영하지 않게 된 경우에는 폐업신고를 하면 돼요. 하지만 기존에 운영 중인 음식점을 양도받거나 영업자가 사망하여 이를 상속받게 된 경우에는 「식품위생법」 에 따라 1개월 이내에 영업자 지위승계 신고를 하고 음식점을 운영하면 돼요( 「식품위생법」 제39조 제1항 및 제3항)."
가맹본부의 정보공개서,창업준비/계약,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,"신청인, 계약 당사자, 가맹본부 또는 창업지원기관",,,창업형태의 선택,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=1&cciNo=1&cnpClsNo=2,창업형태의 선택,창업형태의 선택 > 창업형태의 선택,easylaw_839_body_ov_csmSeq_839_ccfNo_1_cciNo_1_cnpClsNo_2,evchunk_4edb30f51a3375,가맹음식점의 형태로 창업을 하는 경우에는 해당 가맹본부의 정보공개서를 확인해야 하고
가맹점사업자 정의,창업준비/계약,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,"신청인, 계약 당사자, 가맹본부 또는 창업지원기관",,,창업형태의 선택,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=1&cciNo=1&cnpClsNo=2,창업형태의 선택,창업형태의 선택 > 음식점 창업의 형태 창업의 형태 음식점을 창업하려는 형태는 크게 독립음식점 창업과 가맹음식점,easylaw_839_body_ov_csmSeq_839_ccfNo_1_cciNo_1_cnpClsNo_2,evchunk_edb88cf1bd6355,※ “가맹점사업자”란 가맹사업과 관련하여 가맹본부로부터 가맹점운영권을 부여받은 사업자를 말합니다( 「가맹사업거래의 공정화에 관한 법률」 제2조 제3호)
간이과세 적용신고서,세무/사업자유형,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,사업자 유형의 결정,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=6&cciNo=1&cnpClsNo=1,사업자 유형의 결정,사업자 유형의 결정 > 과세유형의 결정 간이과세의 신고 신규로 음식점을 시작하는 개인사업자는 사업을 시작한 날이 속하는,easylaw_839_body_ov_csmSeq_839_ccfNo_6_cciNo_1_cnpClsNo_1,evchunk_d24c8b54e12c62,"인쇄체크 과세유형의 결정 간이과세의 신고 신규로 음식점을 시작하는 개인사업자는 사업을 시작한 날이 속하는 연도의 공급대가의 합계액이 1억4백만원에 미달될 것으로 예상되면 사업자등록을 신청할 때, 납세지 관할 세무서장에게 간이과세의 적용여부를 함께 신고해야 합니다"
간이과세적용신고서,세무/사업자유형,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,사업자 유형의 결정,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=6&cciNo=1&cnpClsNo=1,사업자 유형의 결정,사업자 유형의 결정 > 과세유형의 결정 간이과세의 신고 신규로 음식점을 시작하는 개인사업자는 사업을 시작한 날이 속하는,easylaw_839_body_ov_csmSeq_839_ccfNo_6_cciNo_1_cnpClsNo_1,evchunk_d24c8b54e12c62,사업자등록신청서와 함께 다음의 사항을 적은 간이과세적용신고서( 「부가가치세법 시행규칙」 별지 제43호서식 )를 관할 세무서장에게 제출(국세정보통신망에 의한 제출을 포함)해야 합니다
간이과세포기신고서,세무/사업자유형,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,사업자 유형의 결정,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=6&cciNo=1&cnpClsNo=1,사업자 유형의 결정,사업자 유형의 결정 > 과세유형의 결정 간이과세의 신고 신규로 음식점을 시작하는 개인사업자는 사업을 시작한 날이 속하는,easylaw_839_body_ov_csmSeq_839_ccfNo_6_cciNo_1_cnpClsNo_1,evchunk_dd4282f22b0c22,서장에게 다음의 사항을 적은 간이과세포기신고서( 「부가가치세법 시행규칙」 별지 제43호서식 )를 제출하여(국세정보통신망에 의한 제출을 포함) 신고해야 합니다
간편장부기장,세무/사업자유형,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,간편장부대상자,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=3&cnpClsNo=1,세금의 납부,세금의 납부 > 매년 발생되는 영업소득에 대해서는 소득세를 납부해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_3_cnpClsNo_1,evchunk_3396ead33011f5,간편장부의 혜택 (질문) 간편장부를 기장하면 어떤 혜택이 있나요?
간편장부대상자,세무/사업자등록,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,세금의 납부,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=3&cnpClsNo=1,세금의 납부,세금의 납부 > 매년 발생되는 영업소득에 대해서는 소득세를 납부해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_3_cnpClsNo_1,evchunk_3396ead33011f5,"다음과 같은 업종별 일정 규모 미만의 사업자는 “간편장부대상자”라 하고, 그 외의 사업자는 “복식부기의무자”라 합니다( 「소득세법」 제160조 제3항 및 「소득세법 시행령」 제208조 제5항)."
간편장부에 관한 규정,세무,국세청 홈택스 또는 관할 세무서,온라인 신고·발급 또는 세무서 방문,관할 세무서 또는 홈택스,business_registration,tax_registration,종합소득세의 납부,세무 신고·납부 시,사업자등록과 거래 증빙 자료 준비,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=5&cciNo=1&cnpClsNo=2,종합소득세의 납부,종합소득세의 납부 > 장부의 비치 및 기장 복식부기의무자 소득세는 사업자가 스스로 본인의 소득을 계산하여 신고·납부하는,easylaw_840_body_ov_csmSeq_840_ccfNo_5_cciNo_1_cnpClsNo_2,evchunk_d3efdbf0ca3c61,"간편장부대상자 다음의 사업자가 「소득세법 시행령」 제208조 제9항에 따른 간편장부를 갖춰 놓고 그 사업에 관한 거래 사실을 성실히 기재한 경우에는 장부를 비치·기록하지 않아도 됩니다( 「소득세법」 제160조 제2항, 「소득세법 시행령」 제208조 제5항제1호 및 제2호나목)."
감염병 및 피부병 등 질병 위험 고지 및 근무중단 규정,식품영업 운영/변경,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서 또는 관련 운영 기준 담당기관,food_business_report,food_hygiene,매장운영 시 유의사항,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=1&cnpClsNo=2,매장운영 시 유의사항,매장운영 시 유의사항 > 커피전문점 영업자 및 종업원은 건강진단을 받아야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_a266bbe2f60787,"영업의 제한 등 건강진단을 받은 결과 타인에게 위해를 끼칠 우려가 있는 다음의 질병이 있다고 인정된 자는 그 영업에 종사하지 못합니다( 「식품위생법」 제40조 제2항, 제4항 및 「식품위생법 시행규칙」 제50조 ). 「감염병의 예방 및 관리에 관한 법률」 제2조 제3호에 따른 결핵(비감염성인 경우는 제외) 「감염병의 예방 및 관리에 관한 법률 시행규칙」 제33조 제1항 각 호의 어느 하나에 해당하는 감염병 피부병 또는 그 밖의 고름형성(화농성) 질환 후천성면역결핍증( 「감염병의 예방 및 관리에 관한 법률」 제19조 에 따라 성병에 관한 건강진단을 받아야 하는 영업에 종사하는 사람만 해당) 영업자는 건강진단을 받지 않은 자나 건강진단 결…"
